name,model_type,metric_type,metric_value,train_time
94_RandomForest,Random Forest,auc,0.8988854244522122,3.35
95_RandomForest,Random Forest,auc,0.898521784428154,3.84
96_RandomForest,Random Forest,auc,0.9009489872184935,3.4
97_NeuralNetwork,Neural Network,auc,0.8585553550712055,4.14
98_NeuralNetwork,Neural Network,auc,0.8797144230454663,5.07
99_NeuralNetwork,Neural Network,auc,0.8761849757531375,3.24
100_NeuralNetwork,Neural Network,auc,0.8814835506365586,4.02
101_ExtraTrees,Extra Trees,auc,0.8788021773103724,3.26
102_ExtraTrees,Extra Trees,auc,0.8740169765785626,3.89
103_ExtraTrees,Extra Trees,auc,0.8759219973274346,3.91
104_ExtraTrees,Extra Trees,auc,0.8724693045038516,3.99
105_ExtraTrees,Extra Trees,auc,0.8781868832904263,3.85
106_ExtraTrees,Extra Trees,auc,0.8769927850799378,3.58
107_NeuralNetwork,Neural Network,auc,0.8655588857767678,3.58
108_NeuralNetwork,Neural Network,auc,0.8738005541420989,5.41
109_Xgboost,Xgboost,auc,0.8985368836679073,2.94
110_Xgboost,Xgboost,auc,0.8964984863012148,2.93
111_LightGBM,LightGBM,auc,0.9001021715223306,2.94
112_LightGBM,LightGBM,auc,0.9027659290688046,2.93
113_LightGBM,LightGBM,auc,0.8943103548069689,2.95
114_Xgboost,Xgboost,auc,0.8969929864031345,2.96
115_Xgboost,Xgboost,auc,0.8967388158672878,2.9
116_Xgboost,Xgboost,auc,0.8980587410757203,2.96
117_Xgboost,Xgboost,auc,0.8973025208180767,2.96
118_LightGBM,LightGBM,auc,0.9011440190653066,2.94
119_RandomForest,Random Forest,auc,0.9018197100442659,3.49
120_RandomForest,Random Forest,auc,0.9035800297455023,3.51
121_RandomForest,Random Forest,auc,0.8950338600451466,3.69
122_RandomForest,Random Forest,auc,0.8960027279293155,3.66
123_NeuralNetwork,Neural Network,auc,0.8862360363489032,5.89
124_NeuralNetwork,Neural Network,auc,0.8705944822344862,4.07
125_NeuralNetwork,Neural Network,auc,0.8744737285810993,4.02
126_NeuralNetwork,Neural Network,auc,0.8668976850348918,4.51
127_NeuralNetwork,Neural Network,auc,0.8743000873239366,4.8
128_NeuralNetwork,Neural Network,auc,0.8757647135800046,4.12
129_ExtraTrees,Extra Trees,auc,0.8749493546333276,3.61
130_ExtraTrees,Extra Trees,auc,0.8736722106041961,3.91
131_ExtraTrees,Extra Trees,auc,0.877733906097828,3.92
132_ExtraTrees,Extra Trees,auc,0.8753218025472417,3.74
133_ExtraTrees,Extra Trees,auc,0.8835584378326552,3.78
Ensemble,Ensemble,auc,0.9117839500114504,44.53
